Admitted,Place,Case_Year,Admitted,Found_on,Brought_in_after,City,County,Reason,Reason_edited,Reason_e,First_aid,Species,Species_e,Sex,Sex_e,Age,Age_e,G_O,Disposition,DDate,weight,BCS,attitude,dehydration,head,CNS,cardiopulmonary,GI,musculoskeletal,integument,body,forelimb,forelimb_e,hindlimb,hindlimb_e,treatment,Heat,Fluids,NSAID,Antibiotic,Steroid,treatment_e,admit_date,found_date,ID,r,Disposition_binary,F_Aid,month,season
1992-04-14,Lindsey,1992,1992-04-14,1992-04-14,0,Livermore,Alameda County,Laying on back in garage on floor at neighbor's house.,found in the garage,found inside,unknown,ALHU,Selasphorus,unknown,Female-like ,Adult,adult-like,Selasphorus spp.,Died in 24hr,1992-04-14 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, fluids - nectar plus",1.0,1.0,0.0,0.0,0.0,yes,1992-04-14,1992-04-14,253_ALHU,found inside,Died,No,4,Spring
1992-04-17,Lindsey,1992,1992-04-17,1992-04-17,0,Concord,Contra Costa County,"Found on ground, can't fly well",found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Euthanized in 24hr,1992-04-17 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat and fluids,1.0,1.0,0.0,0.0,0.0,yes,1992-04-17,1992-04-17,254_ANHU,found on the ground,Died,No,4,Spring
1992-05-07,Lindsey,1992,1992-05-07,1992-05-07,0,Martinez,Contra Costa County,caught by domestic animal,caught by domestic animal,caught by domestic animal,unknown,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Released,1992-05-25 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluids",1.0,1.0,0.0,0.0,0.0,yes,1992-05-07,1992-05-07,271_ANHU,caught by domestic animal,Released,No,5,Spring
1992-05-18,Lindsey,1992,1992-05-18,1992-05-15,3,Berkeley,Alameda County,on ground,found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Released,1992-06-09 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,fed nectarplus,0.0,1.0,0.0,0.0,0.0,yes,1992-05-18,1992-05-15,279_ANHU,found on the ground,Released,Yes,5,Spring
1992-11-04,Lindsey,1992,1992-11-04,1992-11-04,0,San Ramon,Contra Costa County,"Eyes closed, not moving on ground.",found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1992-11-04 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, fluids (food)",1.0,1.0,0.0,0.0,0.0,yes,1992-11-04,1992-11-04,364_ANHU,found on the ground,Died,No,11,Fall
1993-01-30,Lindsey,1993,1993-01-30,1993-01-22,8,unknown,unknown,,unknown,unknown,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Released,1993-02-09 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, 5% dextrose, nectar",1.0,1.0,0.0,0.0,1.0,yes,1993-01-30,1993-01-22,372_ANHU,unknown,Released,No,1,Winter
1993-02-14,Lindsey,1993,1993-02-14,1993-02-13,1,Emeryville,Alameda County,On ground.,found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Died in 24hr,1993-02-15 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, fed nektar plus.",1.0,1.0,0.0,0.0,0.0,yes,1993-02-14,1993-02-13,379_ANHU,found on the ground,Died,Yes,2,Winter
1993-02-14,Lindsey,1993,1993-02-14,1993-02-14,0,Berkeley,Alameda County,May have hit window.,window hit,window hit,unknown,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Died in 24hr,1993-02-15 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat nektar plus.,1.0,1.0,0.0,0.0,0.0,yes,1993-02-14,1993-02-14,380_ANHU,window hit,Died,No,2,Winter
1993-03-02,Lindsey,1993,1993-03-02,1993-03-02,0,Lafayette,Contra Costa County,found on ground at safeway parking lot,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-03-02 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, fluids (nektar plus)",1.0,1.0,0.0,0.0,0.0,yes,1993-03-02,1993-03-02,388_ANHU,found on the ground,Died,No,3,Spring
1993-03-02,Lindsey,1993,1993-03-02,1993-03-02,0,Concord,Contra Costa County,Nest in tree; tree removed,nest fell from the tree,nest-related,unknown,ANHU,Non-selasphorus,unknown,unknown,Nestling,Nestling,Non-selasphorus spp.,Died +24hr,1993-03-04 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,fed nectar plus and tubiflex worms,0.0,1.0,0.0,0.0,0.0,yes,1993-03-02,1993-03-02,389_ANHU,nest-related,Died,No,3,Spring
