Admitted,Disposition_binary,Place,F_Aid,Species_e,Sex_e,Age_e,Brought_in_after,season,r,G_O
1991-04-05,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-04-06,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Spring,unknown,Non-selasphorus spp.
1991-04-06,Released,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,window hit,Selasphorus spp.
1991-03-20,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-03-29,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-04-06,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Spring,unknown,Non-selasphorus spp.
1991-04-07,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,found on the ground,Selasphorus spp.
1991-04-07,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-04-08,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-04-09,Released,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,caught by domestic animal,Selasphorus spp.
1991-04-11,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-04-12,Released,Lindsey,No,BCHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1991-04-14,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,suspect torpor-like state,Non-selasphorus spp.
1991-04-14,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-04-14,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-04-15,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-04-15,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1991-04-17,Released,Lindsey,Yes,Selasphorus,Female-like ,adult-like,6,Spring,found on the ground,Selasphorus spp.
1991-04-18,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,1,Spring,window hit,Selasphorus spp.
1991-04-18,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,0,Spring,unknown,Selasphorus spp.
1991-04-18,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,unknown,Non-selasphorus spp.
1991-04-18,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1991-04-15,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,2,Spring,unknown,Non-selasphorus spp.
1991-04-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-04-19,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,unknown,Non-selasphorus spp.
1991-04-21,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,caught by domestic animal,Non-selasphorus spp.
1991-04-24,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,unknown,Selasphorus spp.
1991-04-27,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,2,Spring,window hit,Non-selasphorus spp.
1991-04-27,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1991-04-27,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1991-04-29,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,1,Spring,found on the ground,Selasphorus spp.
1991-04-28,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,3,Spring,found on the ground,Non-selasphorus spp.
1991-05-02,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1991-05-04,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-05-05,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-05-06,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,0,Spring,unknown,Selasphorus spp.
1991-05-06,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,4,Spring,unknown,Non-selasphorus spp.
1991-05-07,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Spring,nest-related,Non-selasphorus spp.
1991-05-07,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Spring,nest-related,Non-selasphorus spp.
1991-05-08,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-05-08,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,15,Spring,unknown,Non-selasphorus spp.
1991-05-13,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-05-15,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1991-05-20,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1991-05-23,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,5,Spring,unknown,Non-selasphorus spp.
1991-05-22,Released,Lindsey,No,ANHU,Female-like ,adult-like,10,Spring,unknown,Non-selasphorus spp.
1991-05-25,Died,Lindsey,No,Selasphorus,unknown,Nestling,0,Spring,nest-related,Selasphorus spp.
1991-05-25,Released,Lindsey,No,Selasphorus,unknown,Nestling,0,Spring,nest-related,Selasphorus spp.
1991-05-25,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1991-05-25,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1991-05-25,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,unknown,Non-selasphorus spp.
1991-05-28,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1991-05-29,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,caught by domestic animal,Selasphorus spp.
1991-05-30,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1991-05-28,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-05-31,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,nest-related,Non-selasphorus spp.
1991-05-31,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,nest-related,Non-selasphorus spp.
1991-06-01,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-06-01,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-06-02,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Summer,window hit,Non-selasphorus spp.
1991-06-03,Released,Lindsey,No,ANHU,Female-like ,adult-like,1,Summer,nest-related,Non-selasphorus spp.
1991-06-03,Released,Lindsey,No,ANHU,Female-like ,adult-like,1,Summer,nest-related,Non-selasphorus spp.
1991-06-03,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-06-04,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,unknown,Non-selasphorus spp.
1991-06-05,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Summer,nest-related,Non-selasphorus spp.
1991-06-10,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-11,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-13,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1991-06-14,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-14,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-10,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1991-06-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-19,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-06-20,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-06-20,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1991-06-20,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1991-06-21,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,window hit,Non-selasphorus spp.
1991-06-22,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-24,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-06-25,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-26,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,1,Summer,found on the ground,Selasphorus spp.
1991-06-26,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-26,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1991-06-25,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1991-06-29,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-06-29,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-07-01,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-07-02,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-07-02,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-07-06,Released,Lindsey,No,ANHU,Female-like ,adult-like,31,Summer,found on the ground,Non-selasphorus spp.
1991-07-09,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1991-07-11,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1991-07-14,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,2,Summer,found on the ground,Non-selasphorus spp.
1991-07-12,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1991-07-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1991-07-18,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1991-07-19,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,2,Summer,window hit,Non-selasphorus spp.
1991-07-23,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-07-23,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1991-07-24,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,unknown,Non-selasphorus spp.
1991-07-25,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1991-07-27,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Summer,found on the ground,Selasphorus spp.
1991-07-28,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1991-07-29,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1991-08-01,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1991-08-01,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1991-04-29,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1991-05-24,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,suspect torpor-like state,Non-selasphorus spp.
1991-08-08,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
