Admitted,Disposition_binary,Place,F_Aid,Species_e,Sex_e,Age_e,Brought_in_after,season,r,G_O
1995-03-29,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,unknown,Non-selasphorus spp.
1995-03-30,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-03-31,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Spring,found on the ground,Non-selasphorus spp.
1995-03-31,Released,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,found on the ground,Selasphorus spp.
1995-04-01,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,nest-related,Non-selasphorus spp.
1995-04-02,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1995-04-03,Released,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,found on the ground,Selasphorus spp.
1995-04-04,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1995-04-04,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1995-04-06,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-04-09,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1995-04-10,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1995-04-10,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Spring,nest-related,Non-selasphorus spp.
1995-04-10,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,nest-related,Non-selasphorus spp.
1995-04-12,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,1,Spring,found on the ground,Selasphorus spp.
1995-04-13,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-04-14,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,0,Spring,caught by domestic animal,Selasphorus spp.
1995-04-18,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,caught by domestic animal,Non-selasphorus spp.
1995-04-18,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,nest-related,Non-selasphorus spp.
1995-04-19,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found inside,Non-selasphorus spp.
1995-04-19,Released,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,window hit,Selasphorus spp.
1995-04-21,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1995-04-22,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1995-04-22,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1995-04-24,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,1,Spring,found on the ground,Selasphorus spp.
1995-04-24,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-04-24,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-04-26,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1995-04-27,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,7,Spring,found on the ground,Non-selasphorus spp.
1995-04-28,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1995-04-29,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,nest-related,Non-selasphorus spp.
1995-05-03,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-04,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1995-05-04,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1995-05-04,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-05,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Spring,nest-related,Non-selasphorus spp.
1995-05-07,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Spring,caught by domestic animal,Non-selasphorus spp.
1995-05-07,Died,Lindsey,No,Selasphorus,unknown,Nestling,0,Spring,caught by domestic animal,Selasphorus spp.
1995-05-07,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1995-05-07,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1995-05-11,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1995-05-11,Died,Lindsey,No,Selasphorus,unknown,Nestling,0,Spring,unknown,Selasphorus spp.
1995-05-11,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-12,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-16,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1995-05-19,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-19,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-23,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-23,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-24,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-27,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,3,Spring,found on the ground,Non-selasphorus spp.
1995-05-30,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-05-31,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1995-06-03,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Summer,unknown,Non-selasphorus spp.
1995-06-04,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1995-06-04,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-04,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-06,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-06-07,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,found on the ground,Non-selasphorus spp.
1995-06-07,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-09,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1995-06-09,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,suspect torpor-like state,Non-selasphorus spp.
1995-06-10,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,unknown,Non-selasphorus spp.
1995-06-10,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-10,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-10,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-06-13,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1995-06-13,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1995-06-15,Released,Lindsey,No,ANHU,Female-like ,adult-like,31,Summer,unknown,Non-selasphorus spp.
1995-06-15,Released,Lindsey,No,Selasphorus,unknown,Nestling,0,Summer,found on the ground,Selasphorus spp.
1995-06-15,Released,Lindsey,No,Selasphorus,unknown,Nestling,0,Summer,found on the ground,Selasphorus spp.
1995-06-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1995-06-19,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-19,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-20,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-06-21,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,found on the ground,Non-selasphorus spp.
1995-06-21,Released,Lindsey,Yes,Selasphorus,unknown,Nestling,0,Summer,found on the ground,Selasphorus spp.
1995-06-22,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1995-06-22,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Summer,nest-related,Non-selasphorus spp.
1995-06-23,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Summer,found on the ground,Non-selasphorus spp.
1995-06-23,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Summer,found on the ground,Non-selasphorus spp.
1995-06-23,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,nest-related,Non-selasphorus spp.
1995-06-24,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Summer,nest-related,Non-selasphorus spp.
1995-06-24,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,nest-related,Non-selasphorus spp.
1995-06-24,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,nest-related,Non-selasphorus spp.
1995-06-26,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1995-06-26,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-06-26,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-06-30,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-07-03,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,32,Summer,found on the ground,Non-selasphorus spp.
1995-07-03,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1995-07-06,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-07-06,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-07-08,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1995-07-10,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,caught by domestic animal,Non-selasphorus spp.
1995-07-11,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-07-11,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1995-07-14,Died,Lindsey,Yes,Selasphorus,unknown,Nestling,1,Summer,found on the ground,Selasphorus spp.
1995-07-14,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1995-07-15,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,found on the ground,Non-selasphorus spp.
1995-07-17,Released,Lindsey,Yes,Selasphorus,Female-like ,adult-like,2,Summer,found on the ground,Selasphorus spp.
1995-07-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,unknown,Non-selasphorus spp.
1995-07-21,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,caught by domestic animal,Non-selasphorus spp.
1995-07-22,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Summer,caught by domestic animal,Non-selasphorus spp.
1995-07-25,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-07-30,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,caught by domestic animal,Non-selasphorus spp.
1995-08-03,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1995-08-05,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,1,Summer,found on the ground,Selasphorus spp.
1995-08-06,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,found on the ground,Non-selasphorus spp.
1995-08-11,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1995-08-12,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-08-18,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1995-08-19,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1995-08-22,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-08-23,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,caught by domestic animal,Non-selasphorus spp.
1995-08-24,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Summer,found on the ground,Non-selasphorus spp.
1995-08-25,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,found on the ground,Non-selasphorus spp.
1995-08-28,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Summer,found on the ground,Non-selasphorus spp.
1995-08-28,Released,Lindsey,Yes,Selasphorus,Female-like ,adult-like,1,Summer,found on the ground,Selasphorus spp.
1995-08-29,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Summer,window hit,Non-selasphorus spp.
1995-08-29,Released,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Summer,caught by domestic animal,Selasphorus spp.
1995-09-03,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1995-09-03,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Fall,found on the ground,Non-selasphorus spp.
1995-09-06,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,window hit,Non-selasphorus spp.
1995-09-10,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,caught by domestic animal,Non-selasphorus spp.
1995-09-10,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1995-09-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1995-09-28,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1995-09-30,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1995-10-10,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,found inside,Non-selasphorus spp.
1995-10-16,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,caught by domestic animal,Non-selasphorus spp.
1995-11-07,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Fall,nest-related,Non-selasphorus spp.
1995-11-12,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Fall,found on the ground,Non-selasphorus spp.
1995-11-16,Released,Lindsey,No,BCHU,Female-like ,adult-like,27,Fall,unknown,Non-selasphorus spp.
1995-12-03,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,suspect torpor-like state,Non-selasphorus spp.
1995-12-03,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1995-12-12,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1995-12-13,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Winter,unknown,Non-selasphorus spp.
1995-12-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,unknown,Non-selasphorus spp.
1996-01-05,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Winter,found on the ground,Non-selasphorus spp.
1996-01-07,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1996-01-14,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Winter,caught by domestic animal,Non-selasphorus spp.
1996-01-14,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,caught by domestic animal,Non-selasphorus spp.
1996-01-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,window hit,Non-selasphorus spp.
1996-01-28,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,caught by domestic animal,Non-selasphorus spp.
1996-02-04,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Winter,nest-related,Non-selasphorus spp.
1996-02-07,Died,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Winter,nest-related,Non-selasphorus spp.
1996-02-10,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1996-02-12,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Winter,found on the ground,Non-selasphorus spp.
1996-02-13,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Winter,nest-related,Non-selasphorus spp.
1996-02-13,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Winter,nest-related,Non-selasphorus spp.
1996-02-15,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Winter,unknown,Non-selasphorus spp.
1996-02-17,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,9,Winter,unknown,Non-selasphorus spp.
1996-02-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,caught by domestic animal,Non-selasphorus spp.
1996-02-18,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Winter,unknown,Non-selasphorus spp.
1996-02-19,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Winter,found on the ground,Non-selasphorus spp.
1996-02-20,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Winter,found on the ground,Non-selasphorus spp.
1996-02-23,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Winter,suspect torpor-like state,Non-selasphorus spp.
1996-02-24,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Winter,nest-related,Non-selasphorus spp.
1996-02-27,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Winter,found on the ground,Non-selasphorus spp.
1996-02-28,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Winter,nest-related,Non-selasphorus spp.
1996-03-03,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,nest-related,Non-selasphorus spp.
1996-03-03,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-03,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-03,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Spring,window hit,Non-selasphorus spp.
1996-03-03,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,window hit,Selasphorus spp.
1996-03-03,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-05,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-06,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-06,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-07,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-07,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-07,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-07,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1996-03-09,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1996-03-09,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-13,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-13,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-13,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-15,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-15,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-16,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-16,Died,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-16,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1996-03-17,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1996-03-18,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,window hit,Non-selasphorus spp.
1996-03-18,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-20,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,caught by domestic animal,Non-selasphorus spp.
1996-03-23,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Spring,nest-related,Non-selasphorus spp.
1996-03-23,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-23,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-24,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1996-03-25,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1996-03-25,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,found on the ground,Selasphorus spp.
1996-03-26,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-28,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,1,Spring,found on the ground,Non-selasphorus spp.
1996-03-29,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-29,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-29,Released,Lindsey,Yes,Non-selasphorus,unknown,Nestling,0,Spring,nest-related,Non-selasphorus spp.
1996-03-29,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-30,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1996-03-30,Died,Lindsey,Yes,Selasphorus,Female-like ,adult-like,0,Spring,found on the ground,Selasphorus spp.
1996-03-31,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1996-03-31,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1996-04-01,Died,Lindsey,No,ANHU,Female-like ,adult-like,1,Spring,found on the ground,Non-selasphorus spp.
1996-04-01,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-01,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-02,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,caught by domestic animal,Non-selasphorus spp.
1996-04-03,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-03,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-05,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1996-04-06,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,window hit,Selasphorus spp.
1996-04-06,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1996-04-07,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Spring,nest-related,Non-selasphorus spp.
1996-04-07,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,1,Spring,nest-related,Non-selasphorus spp.
1996-04-08,Died,Lindsey,No,ANHU,Female-like ,adult-like,6,Spring,nest-related,Non-selasphorus spp.
1996-04-10,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,window hit,Non-selasphorus spp.
1996-04-11,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,nest-related,Non-selasphorus spp.
1996-04-09,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1996-04-12,Died,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,caught by domestic animal,Non-selasphorus spp.
1996-04-14,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,unknown,Non-selasphorus spp.
1996-04-14,Died,Lindsey,No,Selasphorus,unknown,Nestling,0,Spring,nest-related,Selasphorus spp.
1996-04-15,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-15,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,suspect torpor-like state,Non-selasphorus spp.
1996-04-16,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-16,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,2,Spring,found on the ground,Non-selasphorus spp.
1996-04-16,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-17,Released,Lindsey,No,Non-selasphorus,unknown,Nestling,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-19,Died,Lindsey,No,ANHU,Female-like ,adult-like,11,Spring,suspect torpor-like state,Non-selasphorus spp.
1996-04-20,Released,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,caught by domestic animal,Non-selasphorus spp.
1996-04-20,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-20,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-21,Died,Lindsey,No,Selasphorus,Female-like ,adult-like,0,Spring,found on the ground,Selasphorus spp.
1996-04-22,Died,Lindsey,No,ANHU,Female-like ,adult-like,0,Spring,found on the ground,Non-selasphorus spp.
1996-04-25,Released,Lindsey,Yes,ANHU,Female-like ,adult-like,1,Spring,nest-related,Non-selasphorus spp.
