"","Age_e","season","r","Heat","Fluids","Steroid","NSAID","Antibiotic","G_O","Sex_e","predicted_disposition"
"625","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
"626","adult-like","Summer","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.431625325870571
"627","adult-like","Summer","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.431640950739631
"628","adult-like","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.405259458525898
"629","adult-like","Summer","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.464434170993276
"630","adult-like","Summer","found on the ground",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.315155545807751
"631","adult-like","Summer","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.431640950739631
"632","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"633","adult-like","Fall","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226673239119134
"634","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"635","adult-like","Fall","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226673239119134
"636","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"637","adult-like","Fall","suspect torpor-like state",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.0388616540147613
"638","adult-like","Fall","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.211697539723447
"639","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
"640","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
"641","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
"642","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
"643","adult-like","Winter","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.280591241997952
"644","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"645","adult-like","Winter","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306089197863118
"646","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"647","adult-like","Winter","suspect torpor-like state",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.0743362501913053
"648","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"649","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"650","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"651","adult-like","Winter","suspect torpor-like state",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.0573574156858174
"652","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"653","adult-like","Winter","nest-related",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.343131754415675
"654","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"655","adult-like","Winter","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306089197863118
"656","adult-like","Winter","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.276233830654628
"657","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"658","adult-like","Winter","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.287819469881965
"659","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"660","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"661","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"662","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"663","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"664","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"665","Nestling","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.751104138789898
"666","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"667","Nestling","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71818482636921
"668","adult-like","Spring","suspect torpor-like state",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.0955504376614726
"669","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"670","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"671","Nestling","Spring","nest-related",0,1,0,0,0,"Non-selasphorus spp.","unknown",0.800401806929884
"672","Nestling","Spring","nest-related",0,1,0,0,0,"Non-selasphorus spp.","unknown",0.800401806929884
"673","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"674","adult-like","Spring","caught by domestic animal",0,0,0,0,1,"Selasphorus spp.","Female-like ",0.464921564292034
"675","Nestling","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71818482636921
"676","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"677","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"678","Nestling","Spring","found inside",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.692609610315356
"679","Nestling","Spring","found inside",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.692609610315356
"680","Nestling","Spring","found on the ground",1,1,0,0,0,"Selasphorus spp.","unknown",0.670838972017443
"681","adult-like","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.475605333788592
"682","adult-like","Spring","suspect torpor-like state",0,1,0,0,0,"Selasphorus spp.","Female-like ",0.129048812862046
"683","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"684","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"685","Nestling","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.700122382053803
"686","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.316972458272705
"687","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"688","adult-like","Spring","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.466541285531193
"689","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"690","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"691","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"692","adult-like","Spring","found on the ground",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.316986247428059
"693","adult-like","Spring","suspect torpor-like state",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.0955504376614726
"694","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"695","Nestling","Spring","caught by domestic animal",1,1,0,0,0,"Selasphorus spp.","unknown",0.670824908165749
"696","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"697","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"698","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"699","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"700","Nestling","Spring","nest-related",1,1,0,0,0,"Selasphorus spp.","unknown",0.707032772003096
"701","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"702","Nestling","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.751104138789898
"703","Nestling","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.751104138789898
"704","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"705","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.316972458272705
"706","Nestling","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71817193558047
"707","adult-like","Spring","found on the ground",1,1,1,0,0,"Non-selasphorus spp.","Female-like ",0.243841525292315
"708","Nestling","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.751104138789898
"709","Nestling","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.751104138789898
"710","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"711","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"712","adult-like","Spring","found on the ground",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.316986247428059
"713","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"714","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"715","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.316972458272705
"716","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"717","adult-like","Spring","suspect torpor-like state",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.0779044517341829
"718","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"719","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"720","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"721","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"722","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"723","Nestling","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71818482636921
"724","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"725","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"726","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"727","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"728","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"729","Nestling","Spring","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.646466593448712
"730","Nestling","Spring","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.646466593448712
"731","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"732","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"733","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"734","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"735","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"736","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"737","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"738","adult-like","Summer","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.431625325870571
"739","Nestling","Summer","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.749517556330091
"740","Nestling","Summer","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.716467613634622
"741","Nestling","Summer","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.644528673360976
"742","Nestling","Summer","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.644528673360976
"743","adult-like","Summer","suspect torpor-like state",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.0948210602257642
"744","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"745","Nestling","Summer","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.644528673360976
"746","Nestling","Summer","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.749517556330091
"747","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"748","Nestling","Summer","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.716467613634622
"749","Nestling","Summer","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.749517556330091
"750","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"751","Nestling","Summer","unknown",1,0,0,0,0,"Selasphorus spp.","unknown",0.6492896882029
"752","Nestling","Summer","unknown",1,0,0,0,0,"Selasphorus spp.","unknown",0.6492896882029
"753","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"754","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"755","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"756","Nestling","Summer","nest-related",1,0,0,0,0,"Selasphorus spp.","unknown",0.644528673360976
"757","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"758","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"759","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"760","adult-like","Summer","caught by domestic animal",1,0,0,0,1,"Non-selasphorus spp.","Female-like ",0.447737139681805
"761","Nestling","Summer","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.749517556330091
"762","adult-like","Summer","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.431640950739631
"763","Nestling","Summer","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.749517556330091
"764","Nestling","Summer","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.716467613634622
"765","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"766","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"767","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"768","adult-like","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.405259458525898
"769","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"770","adult-like","Summer","found on the ground",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.315155545807751
"771","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"772","Nestling","Summer","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.716467613634622
"773","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"774","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"775","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"776","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.315141799544965
"777","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"778","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"779","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"780","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.315141799544965
"781","adult-like","Summer","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.431625325870571
"782","adult-like","Summer","found inside",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.349376664916499
"783","adult-like","Summer","found inside",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.349376664916499
"784","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"785","adult-like","Fall","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226673239119134
"786","adult-like","Fall","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226673239119134
"787","adult-like","Fall","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226673239119134
"788","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"789","adult-like","Fall","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181730801485928
"790","adult-like","Fall","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226673239119134
"791","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
"792","adult-like","Fall","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.250776876644052
"793","adult-like","Fall","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.250776876644052
"794","adult-like","Fall","found inside",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.205828513530761
"795","adult-like","Winter","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306089197863118
"796","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"797","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"798","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"799","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"800","adult-like","Winter","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306089197863118
"801","adult-like","Winter","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306089197863118
"802","adult-like","Winter","suspect torpor-like state",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.0743362501913053
"803","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"804","Nestling","Winter","nest-related",0,1,0,0,0,"Non-selasphorus spp.","unknown",0.697852992272708
"805","Nestling","Winter","nest-related",0,1,0,0,0,"Non-selasphorus spp.","unknown",0.697852992272708
"806","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"807","adult-like","Winter","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.123367740315857
"808","Nestling","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.594780310965971
"809","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"810","Nestling","Winter","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.634784264994145
"811","Nestling","Winter","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.634784264994145
"812","adult-like","Winter","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.334979634971297
"813","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"814","Nestling","Winter","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.634784264994145
"815","adult-like","Winter","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.306102725747192
"816","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"817","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"818","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"819","Nestling","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.700122382053803
"820","Nestling","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.700122382053803
"821","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"822","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"823","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"824","adult-like","Spring","unknown",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.480806310141132
"825","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"826","adult-like","Spring","found inside",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.351304181649655
"827","adult-like","Spring","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.196359451596741
"828","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"829","adult-like","Spring","window hit",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.346377363041384
"830","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"831","adult-like","Spring","unknown",0,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.551686037757427
"832","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.367219642746114
"833","adult-like","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.407302276088932
"834","adult-like","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.407302276088932
"835","adult-like","Spring","found inside",1,0,1,0,0,"Selasphorus spp.","Female-like ",0.185676244887339
"836","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"837","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"838","adult-like","Spring","found on the ground",1,1,0,0,0,"Selasphorus spp.","Female-like ",0.379850251003313
"839","adult-like","Spring","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.196359451596741
"840","adult-like","Spring","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.196359451596741
"841","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"842","adult-like","Spring","found on the ground",1,1,1,0,0,"Non-selasphorus spp.","Female-like ",0.243841525292315
"843","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"844","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"845","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"846","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"847","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"848","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"849","Nestling","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71817193558047
"850","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"851","Nestling","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71818482636921
"852","Nestling","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.700122382053803
"853","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"854","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"855","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"856","adult-like","Spring","window hit",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.346377363041384
"857","adult-like","Spring","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367204862129646
"858","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"859","adult-like","Spring","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.196359451596741
"860","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"861","adult-like","Spring","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.466541285531193
"862","adult-like","Spring","found on the ground",1,1,0,0,0,"Selasphorus spp.","Female-like ",0.379850251003313
"863","Nestling","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71818482636921
"864","adult-like","Spring","found on the ground",1,1,0,0,0,"Selasphorus spp.","Female-like ",0.379850251003313
"865","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433704129553898
"866","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"867","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"868","adult-like","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.407302276088932
"869","adult-like","Spring","nest-related",0,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.546525423577535
"870","adult-like","Spring","nest-related",0,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.546525423577535
"871","Nestling","Spring","nest-related",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.751104138789898
"872","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"873","adult-like","Spring","caught by domestic animal",1,1,0,0,0,"Selasphorus spp.","Female-like ",0.379835247988971
"874","adult-like","Spring","unknown",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.480806310141132
"875","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"876","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"877","adult-like","Summer","caught by domestic animal",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.431625325870571
"878","adult-like","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.405259458525898
"879","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"880","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
"881","Nestling","Summer","found on the ground",1,1,0,0,0,"Selasphorus spp.","unknown",0.668966239400421
